site,description
http://www.ankaradc.net/,"Washington DC Turkish restaurant"
http://www.lebanesetaverna.com/,"Washington DC Lebanese restaurant"
http://www.mamouns.com/,"Halal food in New York City, small chain"
http://www.taginedining.com/,"Halal Tajin in New York, restaurant"
http://shawarmaniac.com/, "Shawarma in Seattle"
http://seattlegoldenolive.com/, "Lebanese restaurant in Seattle"
http://fayzarestaurant.com/, "Mediterranean and Lebanese restaurant in Seattle"
http://www.meccagrilldenver.com/, "Denver Lebanese Grill"

