site,description
https://www.salatomatic.com,"Comprehensive guide to mosques and Islamic schools across US, Canada, and Europe"
http://www.icburlington.org/,"Islamic Center of Burlington, Sunni"
http://www.isgl.org/,"Islamic Society of Greater Lower, Sunni"
http://isbcc.org/,"Islamic Society of Boston Cultural Center, second biggest Islamic center in the East Coast. Sunni"
http://icne.net/,"Islamic Center of New England, Sunni"
http://jamaats.mumineen.org/boston,"Anjuman-e-Ezzi Boston, Shiite "
http://www.masjidalquran.org/,"Masjid Al Quran, Sunni "
http://www.dawahmasjid.org/,"Sunni Outreach Community and Reform Center, Sunni "
https://umb.collegiatelink.net/organization/muslimstudentsassociation,Muslim Student Association of UMass
